Id,Prof/Choice,SW/Mobile,SW/Desktop,SW/Web,Tech/iOS,Tech/OSX,Tech/FrontendJS,Tech/NodeJS,Tech/HTML,Nonative/Dev,Nonative/Opinion,Xplat/Dev,Xplat/Opinion,Lang/Pref,Exp/JS,Exp/Node,Exp/iOS,App/Never,App/ObjC,App/Titanium,App/Cordova,App/Frontend,App/Best
114,,0,0,1,1,0,1,1,1,1,0,1,0,Javascript,4,3,3,0,0,1,1,1,PhoneGap / Apache Cordova
117,Backend Engineer,1,1,0,0,1,1,1,0,0,2,0,2,Javascript,3,1,1,1,0,0,0,0,PhoneGap / Apache Cordova
118,,0,0,1,0,0,0,1,1,0,1,0,2,Javascript,4,5,3,1,0,0,0,0,
120,iOS Developer,1,0,0,1,0,1,0,0,1,1,1,2,Objective-C,5,,5,0,1,0,0,0,Objective-C Foundation
121,Frontend Engineer,0,0,1,0,0,1,1,1,0,0,0,1,Javascript,4,4,3,0,1,0,0,0,
123,,1,0,1,0,0,1,1,1,0,1,0,1,Javascript,4,4,3,1,0,0,0,0,PhoneGap / Apache Cordova
124,Frontend Engineer,0,0,1,0,0,1,1,1,1,2,1,2,Javascript,5,5,1,0,0,0,1,0,PhoneGap / Apache Cordova
125,Frontend Engineer,0,0,1,0,0,1,1,1,0,2,0,2,Javascript,4,3,,0,0,1,0,0,
126,,1,0,0,1,0,0,1,1,0,1,0,0,Objective-C,2,1,5,0,1,0,0,0,Objective-C Foundation
127,Backend Engineer,0,0,1,1,0,0,1,1,0,0,0,0,Javascript,3,4,4,0,1,0,0,0,Objective-C Foundation
128,Backend Engineer,0,0,1,0,0,1,1,0,1,2,1,1,Javascript,5,4,1,1,0,0,0,0,
129,Backend Engineer,1,0,1,0,0,0,1,0,1,1,1,1,Javascript,4,5,4,0,0,0,0,0,
131,,0,0,1,0,0,1,1,1,0,1,0,1,,4,4,,1,0,0,0,0,
132,,1,0,1,0,0,1,1,0,0,2,0,2,Javascript,3,4,2,1,0,0,0,0,Sencha Touch / jQuery Mobile
134,,0,0,1,0,0,0,1,1,0,2,0,2,Javascript,3,2,1,0,1,0,0,0,
135,Frontend Engineer,0,0,1,0,0,1,1,1,0,1,0,1,Javascript,5,5,3,0,1,1,0,0,Appcelerator Titanium
137,Frontend Engineer,0,1,1,0,0,1,1,1,1,0,1,1,Javascript,5,5,3,0,0,1,1,1,Appcelerator Titanium
138,Backend Engineer,0,0,1,1,1,1,1,1,1,1,1,1,Javascript,3,4,4,0,1,0,1,1,PhoneGap / Apache Cordova
139,Frontend Engineer,0,0,1,0,0,1,1,1,0,2,0,2,Javascript,4,4,1,1,0,0,0,0,PhoneGap / Apache Cordova
